# channel  phase_bin  observed  model  ns_surface  background  mdnse_contrib
54 3 526 540.844 189.088 351.756 0.020627734
54 4 497 499.32 147.565 351.755 0.00050387823
54 5 443 458.772 107.016 351.756 0.023287516
54 6 420 423.421 71.665 351.756 0.0010956095
54 7 411 395.897 44.141 351.756 0.021353844
54 8 357 376.337 24.581 351.756 0.035004818
54 9 397 370.143 18.387 351.756 0.067525004
54 10 377 383.586 31.829 351.757 0.0040606268
54 11 401 413.37 61.613 351.757 0.014324815
54 12 446 451.549 99.792 351.757 0.0028825648
54 13 446 490.166 138.409 351.757 0.18261051
54 14 556 522.96 171.203 351.757 0.10219501
54 15 539 545.941 194.184 351.757 0.0045101783
54 16 593 556.843 205.086 351.757 0.12238675
54 17 577 555.231 203.474 351.757 0.04436358
54 18 511 542.171 190.415 351.756 0.090960134
54 19 526 519.966 168.21 351.756 0.003408476
54 20 512 491.366 139.61 351.756 0.039858089
54 21 439 460.556 108.801 351.755 0.043499671
54 22 437 433.202 81.446 351.756 0.001350391
54 23 409 415.275 63.519 351.756 0.0036861846
54 24 419 411.914 60.157 351.757 0.0047005851
54 25 452 425.349 73.592 351.757 0.066493109
54 26 486 456.104 104.346 351.758 0.083671161
54 27 501 498.888 147.13 351.758 0.00041757785
54 28 533 544.236 192.479 351.757 0.011818792
54 29 584 584.265 232.508 351.757 6.5741767e-06
54 30 623 613.208 261.451 351.757 0.0089761982
54 31 619 627.392 275.636 351.756 0.006592962
55 0 607 634.046 267.342 366.704 0.068478732
55 1 639 617.231 250.527 366.704 0.04436358
55 2 595 588.276 221.572 366.704 0.0042325786
55 3 581 551.194 184.49 366.704 0.083168145
55 4 503 510.602 143.898 366.704 0.0054101008
55 5 441 471.001 104.297 366.704 0.084259928
55 6 430 436.506 69.802 366.704 0.0039625772
55 7 437 409.682 42.977 366.705 0.069863031
55 8 406 390.657 23.952 366.705 0.022037899
55 9 368 384.686 17.981 366.705 0.026064782
55 10 406 397.839 31.133 366.706 0.0062349989
55 11 441 426.939 60.233 366.706 0.018508961
